Town,TotalError,family_error,ownership_error,area_error,building_error
博多駅前１丁目,42.0,0,0.0,0.0,42
博多駅前２丁目,26.0,0,20.0,0.0,6
博多駅前３丁目,22.0,0,0.0,0.0,22
博多駅前４丁目,52.0,0,0.0,0.0,52
博多駅中央街,40.0,0,40.0,0.0,0
博多駅東１丁目,19.0,0,0.0,0.0,19
博多駅東２丁目,18.0,0,0.0,0.0,18
博多駅東３丁目,12.0,0,0.0,0.0,12
博多駅南１丁目,133.0,0,0.0,0.0,133
博多駅南２丁目,24.0,0,0.0,0.0,24
博多駅南３丁目,50.0,0,0.0,0.0,50
博多駅南４丁目,101.0,0,0.0,0.0,101
博多駅南５丁目,120.0,0,0.0,0.0,120
博多駅南６丁目,18.0,0,0.0,0.0,18
山王１丁目,38.0,0,0.0,0.0,38
山王２丁目,3.0,0,0.0,0.0,3
比恵町,12.0,0,0.0,0.0,12
美野島１丁目,54.0,0,0.0,0.0,54
美野島２丁目,39.0,0,0.0,0.0,39
美野島３丁目,179.0,0,0.0,0.0,179
美野島４丁目,25.0,0,25.0,0.0,0
住吉１丁目,7.0,0,5.0,0.0,2
住吉２丁目,17.0,0,0.0,0.0,17
住吉３丁目,21.0,0,0.0,0.0,21
住吉４丁目,26.0,0,0.0,0.0,26
住吉５丁目,15.0,0,0.0,0.0,15
上川端町,2.0,0,0.0,0.0,2
下川端町,19.0,0,18.0,0.0,1
店屋町,10.0,0,0.0,0.0,10
冷泉町,23.0,0,0.0,0.0,23
祇園町,6.0,0,0.0,0.0,6
中洲１丁目,4.0,0,1.0,0.0,3
中洲２丁目,7.0,0,5.0,0.0,2
中洲３丁目,19.0,0,13.0,0.0,6
中洲４丁目,9.0,0,4.0,0.0,5
中洲５丁目,40.0,0,33.0,0.0,7
中洲中島町,24.0,0,23.0,0.0,1
古門戸町,15.0,0,0.0,0.0,15
対馬小路,7.0,0,0.0,0.0,7
築港本町,14.0,0,0.0,0.0,14
奈良屋町,26.0,0,0.0,0.0,26
神屋町,17.0,0,0.0,0.0,17
須崎町,20.0,0,0.0,0.0,20
綱場町,4.0,0,0.0,0.0,4
石城町,149.0,0,0.0,0.0,149
上呉服町,8.0,0,0.0,0.0,8
中呉服町,14.0,0,0.0,0.0,14
下呉服町,11.0,0,0.0,0.0,11
大博町,53.0,0,0.0,0.0,53
御供所町,24.0,0,0.0,0.0,24
千代１丁目,54.0,0,0.0,0.0,54
千代２丁目,19.0,0,0.0,0.0,19
千代３丁目,35.0,0,29.0,0.0,6
千代４丁目,156.0,0,0.0,0.0,156
千代５丁目,62.0,0,0.0,0.0,62
千代６丁目,1.0,0,0.0,0.0,1
東公園,2.0,0,1.0,0.0,1
吉塚本町,19.0,0,0.0,0.0,19
吉塚１丁目,40.0,0,0.0,0.0,40
吉塚２丁目,7.0,0,0.0,0.0,7
吉塚３丁目,30.0,0,0.0,0.0,30
吉塚４丁目,25.0,0,0.0,0.0,25
吉塚５丁目,64.0,0,0.0,0.0,64
吉塚６丁目,58.0,0,0.0,0.0,58
吉塚７丁目,12.0,0,0.0,0.0,12
吉塚８丁目,7.0,0,0.0,0.0,7
豊１丁目,7.0,0,3.0,0.0,4
豊２丁目,7.0,0,0.0,0.0,7
榎田１丁目,5.0,0,4.0,0.0,1
榎田２丁目,2.0,0,2.0,0.0,0
堅粕１丁目,95.0,0,92.0,0.0,3
堅粕２丁目,22.0,0,18.0,0.0,4
堅粕３丁目,5.0,0,0.0,0.0,5
堅粕４丁目,58.0,0,0.0,0.0,58
堅粕５丁目,10.0,0,0.0,0.0,10
東光１丁目,6.0,0,4.0,0.0,2
東光２丁目,50.0,0,0.0,0.0,50
東比恵１丁目,4.0,0,2.0,0.0,2
東比恵２丁目,19.0,0,0.0,0.0,19
東比恵３丁目,102.0,0,0.0,0.0,102
東比恵４丁目,11.0,0,0.0,0.0,11
上牟田１丁目,5.0,0,0.0,0.0,5
上牟田２丁目,6.0,0,1.0,0.0,5
上牟田３丁目,2.0,0,0.0,0.0,2
大井１丁目,14.0,0,4.0,0.0,10
大井２丁目,15.0,0,0.0,0.0,15
大字下臼井,0.0,0,0.0,0.0,0
大字下月隈,0.0,0,0.0,0.0,0
大字立花寺,34.0,0,27.0,0.0,7
大字金隈,0.0,0,0.0,0.0,0
西月隈１丁目,31.0,0,0.0,0.0,31
西月隈３丁目,16.0,0,3.0,0.0,13
西月隈４丁目,22.0,0,9.0,0.0,13
西月隈５丁目,5.0,0,1.0,0.0,4
西月隈６丁目,13.0,0,3.0,0.0,10
東月隈１丁目,36.0,0,30.0,0.0,6
東月隈２丁目,45.0,0,43.0,0.0,2
東月隈３丁目,4.0,0,1.0,0.0,3
東月隈４丁目,118.0,0,116.0,0.0,2
東月隈５丁目,12.0,0,0.0,0.0,12
浦田１丁目,13.0,0,0.0,0.0,13
浦田２丁目,13.0,0,0.0,0.0,13
東那珂１丁目,9.0,0,0.0,0.0,9
東那珂２丁目,45.0,0,0.0,0.0,45
東那珂３丁目,26.0,0,0.0,0.0,26
半道橋１丁目,46.0,0,0.0,0.0,46
半道橋２丁目,1.0,0,0.0,0.0,1
竹下１丁目,10.0,0,0.0,0.0,10
竹下２丁目,97.0,0,0.0,0.0,97
竹下３丁目,0.0,0,0.0,0.0,0
竹下４丁目,10.0,0,0.0,0.0,10
竹下５丁目,9.0,0,0.0,0.0,9
東光寺町１丁目,11.0,0,0.0,0.0,11
東光寺町２丁目,4.0,0,1.0,0.0,3
那珂１丁目,26.0,0,0.0,0.0,26
那珂２丁目,8.0,0,0.0,0.0,8
那珂３丁目,3.0,0,0.0,0.0,3
那珂４丁目,9.0,0,0.0,0.0,9
那珂５丁目,17.0,0,0.0,0.0,17
那珂６丁目,2.0,0,0.0,0.0,2
板付１丁目,3.0,0,1.0,0.0,2
板付２丁目,5.0,0,1.0,0.0,4
