家族類型,総世帯数,総人口,非住宅世帯数,非住宅人口,うち住宅世帯数,うち住宅人口
単独世帯,79610,79610,2267,2267,77343,77343
夫婦のみの世帯,13228,26456,31,62,13197,26394
夫婦と子供から成る世帯,18053,65326,20,71,18033,65255
男親と子供から成る世帯,830,1910,0,0,830,1910
女親と子供から成る世帯,6589,15739,13,30,6576,15709
夫婦と両親から成る世帯,99,396,0,0,99,396
夫婦とひとり親から成る世帯,440,1320,1,3,439,1317
夫婦，子供と両親から成る世帯,243,1436,0,0,243,1436
夫婦，子供とひとり親から成る世帯,869,4094,6,34,863,4060
夫婦と他の親族（親，子供を含まない）から成る世帯,158,505,0,0,158,505
夫婦，子供と他の親族（親を含まない）から成る世帯,309,1428,0,0,309,1428
夫婦，親と他の親族（子供を含まない）から成る世帯,52,243,0,0,52,243
夫婦，子供，親と他の親族から成る世帯,98,662,0,0,98,662
兄弟姉妹のみから成る世帯,1085,2246,3,6,1082,2240
他に分類されない世帯,825,2661,0,0,825,2661
非親族を含む世帯,1568,3447,4,12,1564,3435
