家族類型,所有,世帯数,世帯人員数
0,0,6151,12302
0,1,1841,3682
0,2,4579,9158
0,3,548,1096
0,4,78,156
1,0,9014,32780
1,1,2003,7352
1,2,5802,20620
1,3,1057,3899
1,4,157,604
2,0,328,760
2,1,156,362
2,2,306,696
2,3,30,70
2,4,10,22
3,0,2478,5788
3,1,1514,3632
3,2,2402,5831
3,3,86,218
3,4,96,240
4,0,81,324
4,1,6,24
4,2,9,36
4,3,3,12
4,4,0,0
5,0,347,1041
5,1,32,96
5,2,54,162
5,3,4,12
5,4,2,6
6,0,228,1345
6,1,2,11
6,2,13,80
6,3,0,-
6,4,0,-
7,0,705,3323
7,1,35,161
7,2,113,532
7,3,8,36
7,4,2,8
8,0,8158,8158
8,1,5363,5363
8,2,59839,59839
8,3,3231,3231
8,4,752,752
9,0,103,330
9,1,22,68
9,2,29,94
9,3,2,6
9,4,2,7
10,0,208,966
10,1,28,130
10,2,63,283
10,3,4,17
10,4,6,32
11,0,38,184
11,1,2,9
11,2,11,46
11,3,0,0
11,4,1,4
12,0,87,586
12,1,5,34
12,2,4,28
12,3,1,7
12,4,1,7
13,0,249,518
13,1,144,304
13,2,668,1375
13,3,6,12
13,4,15,31
14,0,390,1284
14,1,171,556
14,2,250,777
14,3,8,24
14,4,6,20
15,0,208,580
15,1,98,221
15,2,1205,2516
15,3,36,76
15,4,17,42
