町丁目,FamilyType,TotalHouseholds,TotalPopulation
博多駅前１丁目,夫婦のみの世帯,31,62
博多駅前１丁目,夫婦と子供から成る世帯,31,114
博多駅前１丁目,その他の核家族世帯,23,52
博多駅前１丁目,核家族以外の世帯,19,57
博多駅前１丁目,非親族を含む世帯,9,18
博多駅前１丁目,単独世帯,647,647
博多駅前２丁目,夫婦のみの世帯,19,38
博多駅前２丁目,夫婦と子供から成る世帯,4,12
博多駅前２丁目,その他の核家族世帯,10,22
博多駅前２丁目,核家族以外の世帯,4,12
博多駅前２丁目,非親族を含む世帯,1,2
博多駅前２丁目,単独世帯,259,259
博多駅前３丁目,夫婦のみの世帯,54,108
博多駅前３丁目,夫婦と子供から成る世帯,18,66
博多駅前３丁目,その他の核家族世帯,27,58
博多駅前３丁目,核家族以外の世帯,14,46
博多駅前３丁目,非親族を含む世帯,8,17
博多駅前３丁目,単独世帯,1425,1425
博多駅前４丁目,夫婦のみの世帯,240,480
博多駅前４丁目,夫婦と子供から成る世帯,176,606
博多駅前４丁目,その他の核家族世帯,120,276
博多駅前４丁目,核家族以外の世帯,59,160
博多駅前４丁目,非親族を含む世帯,31,69
博多駅前４丁目,単独世帯,2782,2782
博多駅中央街,夫婦のみの世帯,5,10
博多駅中央街,夫婦と子供から成る世帯,1,3
博多駅中央街,その他の核家族世帯,4,8
博多駅中央街,核家族以外の世帯,0,0
博多駅中央街,非親族を含む世帯,1,2
博多駅中央街,単独世帯,58,58
博多駅東１丁目,夫婦のみの世帯,49,98
博多駅東１丁目,夫婦と子供から成る世帯,28,95
博多駅東１丁目,その他の核家族世帯,24,56
博多駅東１丁目,核家族以外の世帯,12,30
博多駅東１丁目,非親族を含む世帯,16,33
博多駅東１丁目,単独世帯,678,678
博多駅東２丁目,夫婦のみの世帯,20,40
博多駅東２丁目,夫婦と子供から成る世帯,21,67
博多駅東２丁目,その他の核家族世帯,15,34
博多駅東２丁目,核家族以外の世帯,3,8
博多駅東２丁目,非親族を含む世帯,6,12
博多駅東２丁目,単独世帯,334,334
博多駅東３丁目,夫婦のみの世帯,47,94
博多駅東３丁目,夫婦と子供から成る世帯,24,84
博多駅東３丁目,その他の核家族世帯,27,61
博多駅東３丁目,核家族以外の世帯,10,26
博多駅東３丁目,非親族を含む世帯,13,26
博多駅東３丁目,単独世帯,818,818
博多駅南１丁目,夫婦のみの世帯,33,66
博多駅南１丁目,夫婦と子供から成る世帯,35,118
博多駅南１丁目,その他の核家族世帯,18,38
博多駅南１丁目,核家族以外の世帯,13,41
博多駅南１丁目,非親族を含む世帯,12,24
博多駅南１丁目,単独世帯,1094,1094
博多駅南２丁目,夫婦のみの世帯,143,286
博多駅南２丁目,夫婦と子供から成る世帯,181,647
博多駅南２丁目,その他の核家族世帯,61,143
博多駅南２丁目,核家族以外の世帯,42,130
博多駅南２丁目,非親族を含む世帯,22,45
博多駅南２丁目,単独世帯,1548,1548
博多駅南３丁目,夫婦のみの世帯,196,392
博多駅南３丁目,夫婦と子供から成る世帯,202,729
博多駅南３丁目,その他の核家族世帯,108,249
博多駅南３丁目,核家族以外の世帯,63,168
博多駅南３丁目,非親族を含む世帯,39,85
博多駅南３丁目,単独世帯,2440,2440
博多駅南４丁目,夫婦のみの世帯,107,214
博多駅南４丁目,夫婦と子供から成る世帯,121,423
博多駅南４丁目,その他の核家族世帯,64,144
博多駅南４丁目,核家族以外の世帯,27,91
博多駅南４丁目,非親族を含む世帯,17,34
博多駅南４丁目,単独世帯,723,723
博多駅南５丁目,夫婦のみの世帯,138,276
博多駅南５丁目,夫婦と子供から成る世帯,162,574
博多駅南５丁目,その他の核家族世帯,70,159
博多駅南５丁目,核家族以外の世帯,53,183
博多駅南５丁目,非親族を含む世帯,21,44
博多駅南５丁目,単独世帯,1388,1388
博多駅南６丁目,夫婦のみの世帯,107,214
博多駅南６丁目,夫婦と子供から成る世帯,159,565
博多駅南６丁目,その他の核家族世帯,35,84
博多駅南６丁目,核家族以外の世帯,19,73
博多駅南６丁目,非親族を含む世帯,12,24
博多駅南６丁目,単独世帯,426,426
山王１丁目,夫婦のみの世帯,98,196
山王１丁目,夫婦と子供から成る世帯,156,574
山王１丁目,その他の核家族世帯,57,137
山王１丁目,核家族以外の世帯,23,68
山王１丁目,非親族を含む世帯,16,39
山王１丁目,単独世帯,425,425
山王２丁目,夫婦のみの世帯,34,68
山王２丁目,夫婦と子供から成る世帯,46,172
山王２丁目,その他の核家族世帯,15,38
山王２丁目,核家族以外の世帯,8,30
山王２丁目,非親族を含む世帯,11,22
山王２丁目,単独世帯,233,233
比恵町,夫婦のみの世帯,228,456
比恵町,夫婦と子供から成る世帯,178,609
比恵町,その他の核家族世帯,81,182
比恵町,核家族以外の世帯,56,144
比恵町,非親族を含む世帯,40,82
比恵町,単独世帯,1986,1986
美野島１丁目,夫婦のみの世帯,83,166
美野島１丁目,夫婦と子供から成る世帯,105,370
美野島１丁目,その他の核家族世帯,67,149
美野島１丁目,核家族以外の世帯,47,149
美野島１丁目,非親族を含む世帯,16,33
美野島１丁目,単独世帯,1325,1325
美野島２丁目,夫婦のみの世帯,135,270
美野島２丁目,夫婦と子供から成る世帯,163,575
美野島２丁目,その他の核家族世帯,99,224
美野島２丁目,核家族以外の世帯,60,205
美野島２丁目,非親族を含む世帯,47,100
美野島２丁目,単独世帯,1965,1965
美野島３丁目,夫婦のみの世帯,187,374
美野島３丁目,夫婦と子供から成る世帯,247,893
美野島３丁目,その他の核家族世帯,103,246
美野島３丁目,核家族以外の世帯,51,168
美野島３丁目,非親族を含む世帯,42,92
美野島３丁目,単独世帯,1492,1492
美野島４丁目,夫婦のみの世帯,208,416
美野島４丁目,夫婦と子供から成る世帯,325,1197
美野島４丁目,その他の核家族世帯,69,169
美野島４丁目,核家族以外の世帯,28,112
美野島４丁目,非親族を含む世帯,9,21
美野島４丁目,単独世帯,218,218
住吉１丁目,夫婦のみの世帯,0,0
住吉１丁目,夫婦と子供から成る世帯,1,3
住吉１丁目,その他の核家族世帯,3,9
住吉１丁目,核家族以外の世帯,3,11
住吉１丁目,非親族を含む世帯,0,0
住吉１丁目,単独世帯,25,25
住吉２丁目,夫婦のみの世帯,87,174
住吉２丁目,夫婦と子供から成る世帯,61,197
住吉２丁目,その他の核家族世帯,51,116
住吉２丁目,核家族以外の世帯,31,103
住吉２丁目,非親族を含む世帯,31,64
住吉２丁目,単独世帯,1481,1481
住吉３丁目,夫婦のみの世帯,78,156
住吉３丁目,夫婦と子供から成る世帯,43,149
住吉３丁目,その他の核家族世帯,38,83
住吉３丁目,核家族以外の世帯,31,82
住吉３丁目,非親族を含む世帯,25,50
住吉３丁目,単独世帯,1241,1241
住吉４丁目,夫婦のみの世帯,126,252
住吉４丁目,夫婦と子供から成る世帯,92,315
住吉４丁目,その他の核家族世帯,69,156
住吉４丁目,核家族以外の世帯,44,121
住吉４丁目,非親族を含む世帯,29,59
住吉４丁目,単独世帯,1427,1427
住吉５丁目,夫婦のみの世帯,125,250
住吉５丁目,夫婦と子供から成る世帯,124,439
住吉５丁目,その他の核家族世帯,86,192
住吉５丁目,核家族以外の世帯,54,183
住吉５丁目,非親族を含む世帯,26,53
住吉５丁目,単独世帯,1289,1289
上川端町,夫婦のみの世帯,46,92
上川端町,夫婦と子供から成る世帯,33,114
上川端町,その他の核家族世帯,26,58
上川端町,核家族以外の世帯,16,62
上川端町,非親族を含む世帯,4,9
上川端町,単独世帯,261,261
下川端町,夫婦のみの世帯,15,30
下川端町,夫婦と子供から成る世帯,16,54
下川端町,その他の核家族世帯,9,20
下川端町,核家族以外の世帯,3,6
下川端町,非親族を含む世帯,5,10
下川端町,単独世帯,119,119
店屋町,夫婦のみの世帯,41,82
店屋町,夫婦と子供から成る世帯,35,119
店屋町,その他の核家族世帯,18,42
店屋町,核家族以外の世帯,9,25
店屋町,非親族を含む世帯,7,14
店屋町,単独世帯,389,389
冷泉町,夫婦のみの世帯,76,152
冷泉町,夫婦と子供から成る世帯,60,216
冷泉町,その他の核家族世帯,39,91
冷泉町,核家族以外の世帯,26,83
冷泉町,非親族を含む世帯,13,27
冷泉町,単独世帯,921,921
祇園町,夫婦のみの世帯,52,104
祇園町,夫婦と子供から成る世帯,44,149
祇園町,その他の核家族世帯,50,115
祇園町,核家族以外の世帯,17,55
祇園町,非親族を含む世帯,26,59
祇園町,単独世帯,672,672
中洲１丁目,夫婦のみの世帯,0,0
中洲１丁目,夫婦と子供から成る世帯,0,0
中洲１丁目,その他の核家族世帯,1,3
中洲１丁目,核家族以外の世帯,0,0
中洲１丁目,非親族を含む世帯,0,0
中洲１丁目,単独世帯,3,3
中洲２丁目,夫婦のみの世帯,1,2
中洲２丁目,夫婦と子供から成る世帯,2,9
中洲２丁目,その他の核家族世帯,1,2
中洲２丁目,核家族以外の世帯,1,4
中洲２丁目,非親族を含む世帯,0,0
中洲２丁目,単独世帯,60,60
中洲３丁目,夫婦のみの世帯,2,4
中洲３丁目,夫婦と子供から成る世帯,1,3
中洲３丁目,その他の核家族世帯,2,4
中洲３丁目,核家族以外の世帯,1,2
中洲３丁目,非親族を含む世帯,0,0
中洲３丁目,単独世帯,3,3
中洲４丁目,夫婦のみの世帯,1,2
中洲４丁目,夫婦と子供から成る世帯,3,11
中洲４丁目,その他の核家族世帯,2,5
中洲４丁目,核家族以外の世帯,1,4
中洲４丁目,非親族を含む世帯,0,0
中洲４丁目,単独世帯,4,4
中洲５丁目,夫婦のみの世帯,13,26
中洲５丁目,夫婦と子供から成る世帯,3,11
中洲５丁目,その他の核家族世帯,4,10
中洲５丁目,核家族以外の世帯,1,2
中洲５丁目,非親族を含む世帯,4,8
中洲５丁目,単独世帯,505,505
中洲中島町,夫婦のみの世帯,28,56
中洲中島町,夫婦と子供から成る世帯,12,40
中洲中島町,その他の核家族世帯,9,24
中洲中島町,核家族以外の世帯,6,13
中洲中島町,非親族を含む世帯,6,14
中洲中島町,単独世帯,269,269
古門戸町,夫婦のみの世帯,43,86
古門戸町,夫婦と子供から成る世帯,57,209
古門戸町,その他の核家族世帯,31,66
古門戸町,核家族以外の世帯,22,81
古門戸町,非親族を含む世帯,4,8
古門戸町,単独世帯,498,498
対馬小路,夫婦のみの世帯,76,152
対馬小路,夫婦と子供から成る世帯,113,417
対馬小路,その他の核家族世帯,40,99
対馬小路,核家族以外の世帯,34,111
対馬小路,非親族を含む世帯,11,22
対馬小路,単独世帯,647,647
築港本町,夫婦のみの世帯,85,170
築港本町,夫婦と子供から成る世帯,70,242
築港本町,その他の核家族世帯,43,104
築港本町,核家族以外の世帯,19,68
築港本町,非親族を含む世帯,35,71
築港本町,単独世帯,1146,1146
奈良屋町,夫婦のみの世帯,86,172
奈良屋町,夫婦と子供から成る世帯,109,396
奈良屋町,その他の核家族世帯,52,129
奈良屋町,核家族以外の世帯,42,164
奈良屋町,非親族を含む世帯,7,15
奈良屋町,単独世帯,554,554
神屋町,夫婦のみの世帯,76,152
神屋町,夫婦と子供から成る世帯,67,237
神屋町,その他の核家族世帯,42,102
神屋町,核家族以外の世帯,27,91
神屋町,非親族を含む世帯,23,48
神屋町,単独世帯,1199,1199
須崎町,夫婦のみの世帯,54,108
須崎町,夫婦と子供から成る世帯,49,171
須崎町,その他の核家族世帯,32,72
須崎町,核家族以外の世帯,11,41
須崎町,非親族を含む世帯,7,16
須崎町,単独世帯,552,552
綱場町,夫婦のみの世帯,20,40
綱場町,夫婦と子供から成る世帯,13,45
綱場町,その他の核家族世帯,13,27
綱場町,核家族以外の世帯,11,30
綱場町,非親族を含む世帯,7,14
綱場町,単独世帯,410,410
石城町,夫婦のみの世帯,46,92
石城町,夫婦と子供から成る世帯,47,172
石城町,その他の核家族世帯,32,70
石城町,核家族以外の世帯,13,38
石城町,非親族を含む世帯,6,13
石城町,単独世帯,799,799
上呉服町,夫婦のみの世帯,58,116
上呉服町,夫婦と子供から成る世帯,86,309
上呉服町,その他の核家族世帯,37,82
上呉服町,核家族以外の世帯,34,142
上呉服町,非親族を含む世帯,6,16
上呉服町,単独世帯,514,514
中呉服町,夫婦のみの世帯,36,72
中呉服町,夫婦と子供から成る世帯,23,80
中呉服町,その他の核家族世帯,18,39
中呉服町,核家族以外の世帯,12,32
中呉服町,非親族を含む世帯,11,23
中呉服町,単独世帯,811,811
下呉服町,夫婦のみの世帯,70,140
下呉服町,夫婦と子供から成る世帯,90,329
下呉服町,その他の核家族世帯,55,128
下呉服町,核家族以外の世帯,33,112
下呉服町,非親族を含む世帯,4,10
下呉服町,単独世帯,981,981
大博町,夫婦のみの世帯,70,140
大博町,夫婦と子供から成る世帯,86,311
大博町,その他の核家族世帯,54,133
大博町,核家族以外の世帯,34,111
大博町,非親族を含む世帯,16,38
