Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
博多駅前３丁目,夫婦のみの世帯,54,108,13,13
博多駅前３丁目,夫婦と子供から成る世帯,18,66,13,13
博多駅前３丁目,その他の核家族世帯,27,58,13,13
博多駅前３丁目,核家族以外の世帯,14,46,13,13
博多駅前３丁目,非親族を含む世帯,8,17,13,13
博多駅前３丁目,単独世帯,1425,1425,13,13
博多駅中央街,夫婦のみの世帯,5,10,0,0
博多駅中央街,夫婦と子供から成る世帯,1,3,0,0
博多駅中央街,その他の核家族世帯,4,8,0,0
博多駅中央街,核家族以外の世帯,0,0,0,0
博多駅中央街,非親族を含む世帯,1,2,0,0
博多駅中央街,単独世帯,58,58,0,0
博多駅東２丁目,夫婦のみの世帯,20,40,1,1
博多駅東２丁目,夫婦と子供から成る世帯,21,67,1,1
博多駅東２丁目,その他の核家族世帯,15,34,1,1
博多駅東２丁目,核家族以外の世帯,3,8,1,1
博多駅東２丁目,非親族を含む世帯,6,12,1,1
博多駅東２丁目,単独世帯,334,334,1,1
博多駅南４丁目,夫婦のみの世帯,107,214,93,93
博多駅南４丁目,夫婦と子供から成る世帯,121,423,93,93
博多駅南４丁目,その他の核家族世帯,64,144,93,93
博多駅南４丁目,核家族以外の世帯,27,91,93,93
博多駅南４丁目,非親族を含む世帯,17,34,93,93
博多駅南４丁目,単独世帯,723,723,93,93
博多駅南６丁目,夫婦のみの世帯,107,214,15,15
博多駅南６丁目,夫婦と子供から成る世帯,159,565,15,15
博多駅南６丁目,その他の核家族世帯,35,84,15,15
博多駅南６丁目,核家族以外の世帯,19,73,15,15
博多駅南６丁目,非親族を含む世帯,12,24,15,15
博多駅南６丁目,単独世帯,426,426,15,15
比恵町,夫婦のみの世帯,228,456,8,8
比恵町,夫婦と子供から成る世帯,178,609,8,8
比恵町,その他の核家族世帯,81,182,8,8
比恵町,核家族以外の世帯,56,144,8,8
比恵町,非親族を含む世帯,40,82,8,8
比恵町,単独世帯,1986,1986,8,8
美野島３丁目,夫婦のみの世帯,187,374,166,166
美野島３丁目,夫婦と子供から成る世帯,247,893,166,166
美野島３丁目,その他の核家族世帯,103,246,166,166
美野島３丁目,核家族以外の世帯,51,168,166,166
美野島３丁目,非親族を含む世帯,42,92,166,166
美野島３丁目,単独世帯,1492,1492,166,166
美野島４丁目,夫婦のみの世帯,208,416,0,0
美野島４丁目,夫婦と子供から成る世帯,325,1197,0,0
美野島４丁目,その他の核家族世帯,69,169,0,0
美野島４丁目,核家族以外の世帯,28,112,0,0
美野島４丁目,非親族を含む世帯,9,21,0,0
美野島４丁目,単独世帯,218,218,0,0
住吉１丁目,夫婦のみの世帯,0,0,0,0
住吉１丁目,夫婦と子供から成る世帯,1,3,0,0
住吉１丁目,その他の核家族世帯,3,9,0,0
住吉１丁目,核家族以外の世帯,3,11,0,0
住吉１丁目,非親族を含む世帯,0,0,0,0
住吉１丁目,単独世帯,25,25,0,0
住吉２丁目,夫婦のみの世帯,87,174,4,4
住吉２丁目,夫婦と子供から成る世帯,61,197,4,4
住吉２丁目,その他の核家族世帯,51,116,4,4
住吉２丁目,核家族以外の世帯,31,103,4,4
住吉２丁目,非親族を含む世帯,31,64,4,4
住吉２丁目,単独世帯,1481,1481,4,4
住吉３丁目,夫婦のみの世帯,78,156,7,7
住吉３丁目,夫婦と子供から成る世帯,43,149,7,7
住吉３丁目,その他の核家族世帯,38,83,7,7
住吉３丁目,核家族以外の世帯,31,82,7,7
住吉３丁目,非親族を含む世帯,25,50,7,7
住吉３丁目,単独世帯,1241,1241,7,7
住吉４丁目,夫婦のみの世帯,126,252,2,2
住吉４丁目,夫婦と子供から成る世帯,92,315,2,2
住吉４丁目,その他の核家族世帯,69,156,2,2
住吉４丁目,核家族以外の世帯,44,121,2,2
住吉４丁目,非親族を含む世帯,29,59,2,2
住吉４丁目,単独世帯,1427,1427,2,2
住吉５丁目,夫婦のみの世帯,125,250,1,1
住吉５丁目,夫婦と子供から成る世帯,124,439,1,1
住吉５丁目,その他の核家族世帯,86,192,1,1
住吉５丁目,核家族以外の世帯,54,183,1,1
住吉５丁目,非親族を含む世帯,26,53,1,1
住吉５丁目,単独世帯,1289,1289,1,1
上川端町,夫婦のみの世帯,46,92,1,1
上川端町,夫婦と子供から成る世帯,33,114,1,1
上川端町,その他の核家族世帯,26,58,1,1
上川端町,核家族以外の世帯,16,62,1,1
上川端町,非親族を含む世帯,4,9,1,1
上川端町,単独世帯,261,261,1,1
下川端町,夫婦のみの世帯,15,30,0,0
下川端町,夫婦と子供から成る世帯,16,54,0,0
下川端町,その他の核家族世帯,9,20,0,0
下川端町,核家族以外の世帯,3,6,0,0
下川端町,非親族を含む世帯,5,10,0,0
下川端町,単独世帯,119,119,0,0
店屋町,夫婦のみの世帯,41,82,5,5
店屋町,夫婦と子供から成る世帯,35,119,5,5
店屋町,その他の核家族世帯,18,42,5,5
店屋町,核家族以外の世帯,9,25,5,5
店屋町,非親族を含む世帯,7,14,5,5
店屋町,単独世帯,389,389,5,5
冷泉町,夫婦のみの世帯,76,152,4,4
冷泉町,夫婦と子供から成る世帯,60,216,4,4
冷泉町,その他の核家族世帯,39,91,4,4
冷泉町,核家族以外の世帯,26,83,4,4
冷泉町,非親族を含む世帯,13,27,4,4
冷泉町,単独世帯,921,921,4,4
祇園町,夫婦のみの世帯,52,104,0,0
祇園町,夫婦と子供から成る世帯,44,149,0,0
祇園町,その他の核家族世帯,50,115,0,0
祇園町,核家族以外の世帯,17,55,0,0
祇園町,非親族を含む世帯,26,59,0,0
祇園町,単独世帯,672,672,0,0
中洲１丁目,夫婦のみの世帯,0,0,1,1
中洲１丁目,夫婦と子供から成る世帯,0,0,1,1
中洲１丁目,その他の核家族世帯,1,3,1,1
中洲１丁目,核家族以外の世帯,0,0,1,1
中洲１丁目,非親族を含む世帯,0,0,1,1
中洲１丁目,単独世帯,3,3,1,1
中洲２丁目,夫婦のみの世帯,1,2,0,0
中洲２丁目,夫婦と子供から成る世帯,2,9,0,0
中洲２丁目,その他の核家族世帯,1,2,0,0
中洲２丁目,核家族以外の世帯,1,4,0,0
中洲２丁目,非親族を含む世帯,0,0,0,0
中洲２丁目,単独世帯,60,60,0,0
中洲３丁目,夫婦のみの世帯,2,4,0,0
中洲３丁目,夫婦と子供から成る世帯,1,3,0,0
中洲３丁目,その他の核家族世帯,2,4,0,0
中洲３丁目,核家族以外の世帯,1,2,0,0
中洲３丁目,非親族を含む世帯,0,0,0,0
中洲３丁目,単独世帯,3,3,0,0
中洲４丁目,夫婦のみの世帯,1,2,1,1
中洲４丁目,夫婦と子供から成る世帯,3,11,1,1
中洲４丁目,その他の核家族世帯,2,5,1,1
中洲４丁目,核家族以外の世帯,1,4,1,1
中洲４丁目,非親族を含む世帯,0,0,1,1
中洲４丁目,単独世帯,4,4,1,1
中洲中島町,夫婦のみの世帯,28,56,0,0
中洲中島町,夫婦と子供から成る世帯,12,40,0,0
中洲中島町,その他の核家族世帯,9,24,0,0
中洲中島町,核家族以外の世帯,6,13,0,0
中洲中島町,非親族を含む世帯,6,14,0,0
中洲中島町,単独世帯,269,269,0,0
対馬小路,夫婦のみの世帯,76,152,5,5
対馬小路,夫婦と子供から成る世帯,113,417,5,5
対馬小路,その他の核家族世帯,40,99,5,5
対馬小路,核家族以外の世帯,34,111,5,5
対馬小路,非親族を含む世帯,11,22,5,5
対馬小路,単独世帯,647,647,5,5
築港本町,夫婦のみの世帯,85,170,1,1
築港本町,夫婦と子供から成る世帯,70,242,1,1
築港本町,その他の核家族世帯,43,104,1,1
築港本町,核家族以外の世帯,19,68,1,1
築港本町,非親族を含む世帯,35,71,1,1
築港本町,単独世帯,1146,1146,1,1
奈良屋町,夫婦のみの世帯,86,172,15,15
奈良屋町,夫婦と子供から成る世帯,109,396,15,15
奈良屋町,その他の核家族世帯,52,129,15,15
奈良屋町,核家族以外の世帯,42,164,15,15
奈良屋町,非親族を含む世帯,7,15,15,15
奈良屋町,単独世帯,554,554,15,15
綱場町,夫婦のみの世帯,20,40,2,2
