家族類型,所有,建て方,延床面積,世帯数
0,0,0,0,7
0,0,0,1,22
0,0,0,2,231
0,0,0,3,717
0,0,0,4,966
0,0,0,5,895
0,0,1,0,3
0,0,1,1,3
0,0,1,2,6
0,0,1,3,0
0,0,1,4,2
0,0,1,5,0
0,0,2,0,1
0,0,2,1,126
0,0,2,2,1384
0,0,2,3,1736
0,0,2,4,6
0,0,2,5,37
0,0,3,0,2
0,0,3,1,1
0,0,3,2,0
0,0,3,3,6
0,0,3,4,0
0,0,3,5,0
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,1,0,0
0,1,1,1,0
0,1,1,2,0
0,1,1,3,0
0,1,1,4,0
0,1,1,5,0
0,1,2,0,30
0,1,2,1,650
0,1,2,2,1043
0,1,2,3,118
0,1,2,4,0
0,1,2,5,0
0,1,3,0,0
0,1,3,1,0
0,1,3,2,0
0,1,3,3,0
0,1,3,4,0
0,1,3,5,0
0,2,0,0,1
0,2,0,1,23
0,2,0,2,15
0,2,0,3,5
0,2,0,4,13
0,2,0,5,0
0,2,1,0,3
0,2,1,1,12
0,2,1,2,8
0,2,1,3,2
0,2,1,4,4
0,2,1,5,0
0,2,2,0,3266
0,2,2,1,1212
0,2,2,2,0
0,2,2,3,1
0,2,2,4,6
0,2,2,5,2
0,2,3,0,5
0,2,3,1,0
0,2,3,2,0
0,2,3,3,1
0,2,3,4,0
0,2,3,5,0
0,3,0,0,1
0,3,0,1,15
0,3,0,2,1
0,3,0,3,9
0,3,0,4,11
0,3,0,5,5
0,3,1,0,0
0,3,1,1,2
0,3,1,2,0
0,3,1,3,1
0,3,1,4,1
0,3,1,5,0
0,3,2,0,291
0,3,2,1,164
0,3,2,2,23
0,3,2,3,15
0,3,2,4,0
0,3,2,5,0
0,3,3,0,0
0,3,3,1,2
0,3,3,2,0
0,3,3,3,3
0,3,3,4,4
0,3,3,5,0
0,4,0,0,0
0,4,0,1,1
0,4,0,2,0
0,4,0,3,20
0,4,0,4,0
0,4,0,5,0
0,4,1,0,0
0,4,1,1,0
0,4,1,2,0
0,4,1,3,0
0,4,1,4,0
0,4,1,5,0
0,4,2,0,34
0,4,2,1,10
0,4,2,2,1
0,4,2,3,12
0,4,2,4,0
0,4,2,5,0
0,4,3,0,0
0,4,3,1,0
0,4,3,2,0
0,4,3,3,0
0,4,3,4,0
0,4,3,5,0
1,0,0,0,1
1,0,0,1,120
1,0,0,2,442
1,0,0,3,1000
1,0,0,4,1590
1,0,0,5,889
1,0,1,0,1
1,0,1,1,4
1,0,1,2,1
1,0,1,3,15
1,0,1,4,0
1,0,1,5,0
1,0,2,0,176
1,0,2,1,582
1,0,2,2,1718
1,0,2,3,2186
1,0,2,4,255
1,0,2,5,12
1,0,3,0,2
1,0,3,1,1
1,0,3,2,5
1,0,3,3,1
1,0,3,4,3
1,0,3,5,10
1,1,0,0,0
1,1,0,1,0
1,1,0,2,0
1,1,0,3,0
1,1,0,4,0
1,1,0,5,0
1,1,1,0,0
1,1,1,1,0
1,1,1,2,0
1,1,1,3,0
1,1,1,4,0
1,1,1,5,0
1,1,2,0,4
1,1,2,1,690
1,1,2,2,1268
1,1,2,3,39
1,1,2,4,1
1,1,2,5,1
1,1,3,0,0
1,1,3,1,0
1,1,3,2,0
1,1,3,3,0
1,1,3,4,0
1,1,3,5,0
1,2,0,0,3
1,2,0,1,2
1,2,0,2,0
1,2,0,3,3
1,2,0,4,0
1,2,0,5,4
1,2,1,0,2
1,2,1,1,3
1,2,1,2,2
1,2,1,3,4
1,2,1,4,1
1,2,1,5,0
1,2,2,0,3976
1,2,2,1,1771
1,2,2,2,1
1,2,2,3,2
1,2,2,4,6
1,2,2,5,12
1,2,3,0,3
1,2,3,1,0
1,2,3,2,5
1,2,3,3,1
1,2,3,4,1
1,2,3,5,0
1,3,0,0,1
1,3,0,1,6
1,3,0,2,9
1,3,0,3,8
1,3,0,4,7
1,3,0,5,1
1,3,1,0,7
1,3,1,1,2
1,3,1,2,2
1,3,1,3,1
1,3,1,4,0
1,3,1,5,1
1,3,2,0,371
1,3,2,1,344
1,3,2,2,179
1,3,2,3,72
1,3,2,4,32
1,3,2,5,1
1,3,3,0,1
1,3,3,1,7
1,3,3,2,2
1,3,3,3,3
1,3,3,4,0
1,3,3,5,0
1,4,0,0,23
1,4,0,1,2
1,4,0,2,13
1,4,0,3,5
1,4,0,4,0
1,4,0,5,0
1,4,1,0,0
1,4,1,1,1
1,4,1,2,1
1,4,1,3,1
1,4,1,4,0
1,4,1,5,0
1,4,2,0,76
1,4,2,1,26
1,4,2,2,5
1,4,2,3,1
1,4,2,4,0
1,4,2,5,0
1,4,3,0,3
1,4,3,1,0
1,4,3,2,0
1,4,3,3,0
1,4,3,4,0
1,4,3,5,0
10,0,0,0,2
10,0,0,1,0
10,0,0,2,7
10,0,0,3,15
10,0,0,4,0
10,0,0,5,13
10,0,1,0,0
10,0,1,1,1
10,0,1,2,0
10,0,1,3,0
10,0,1,4,7
10,0,1,5,0
10,0,2,0,5
10,0,2,1,6
10,0,2,2,3
10,0,2,3,114
10,0,2,4,18
10,0,2,5,12
10,0,3,0,0
10,0,3,1,0
10,0,3,2,1
10,0,3,3,3
10,0,3,4,1
10,0,3,5,0
10,1,0,0,0
10,1,0,1,0
10,1,0,2,0
10,1,0,3,0
10,1,0,4,0
10,1,0,5,0
10,1,1,0,0
10,1,1,1,0
10,1,1,2,0
10,1,1,3,0
10,1,1,4,0
10,1,1,5,0
10,1,2,0,13
10,1,2,1,2
10,1,2,2,11
10,1,2,3,1
10,1,2,4,1
10,1,2,5,0
10,1,3,0,0
10,1,3,1,0
10,1,3,2,0
10,1,3,3,0
10,1,3,4,0
10,1,3,5,0
10,2,0,0,2
10,2,0,1,2
10,2,0,2,0
10,2,0,3,2
10,2,0,4,6
10,2,0,5,7
10,2,1,0,0
10,2,1,1,3
10,2,1,2,1
10,2,1,3,0
10,2,1,4,5
10,2,1,5,0
10,2,2,0,3
10,2,2,1,0
10,2,2,2,7
10,2,2,3,0
10,2,2,4,1
10,2,2,5,1
10,2,3,0,12
10,2,3,1,8
10,2,3,2,1
10,2,3,3,1
10,2,3,4,1
10,2,3,5,0
10,3,0,0,0
10,3,0,1,0
10,3,0,2,0
10,3,0,3,0
10,3,0,4,1
10,3,0,5,0
10,3,1,0,0
10,3,1,1,0
10,3,1,2,0
10,3,1,3,0
10,3,1,4,0
10,3,1,5,0
10,3,2,0,0
10,3,2,1,0
10,3,2,2,1
10,3,2,3,1
10,3,2,4,0
10,3,2,5,1
10,3,3,0,0
10,3,3,1,0
10,3,3,2,0
10,3,3,3,0
10,3,3,4,0
10,3,3,5,0
10,4,0,0,0
10,4,0,1,0
10,4,0,2,0
10,4,0,3,1
10,4,0,4,0
10,4,0,5,0
10,4,1,0,1
10,4,1,1,0
10,4,1,2,0
10,4,1,3,1
10,4,1,4,0
10,4,1,5,0
10,4,2,0,0
10,4,2,1,0
10,4,2,2,1
10,4,2,3,2
10,4,2,4,0
10,4,2,5,0
10,4,3,0,0
10,4,3,1,0
10,4,3,2,0
10,4,3,3,0
10,4,3,4,0
10,4,3,5,0
11,0,0,0,1
11,0,0,1,7
11,0,0,2,5
11,0,0,3,8
11,0,0,4,0
11,0,0,5,3
11,0,1,0,0
11,0,1,1,0
11,0,1,2,0
11,0,1,3,0
11,0,1,4,0
11,0,1,5,0
11,0,2,0,0
11,0,2,1,0
11,0,2,2,7
11,0,2,3,4
11,0,2,4,1
11,0,2,5,0
11,0,3,0,0
11,0,3,1,2
11,0,3,2,0
11,0,3,3,0
11,0,3,4,0
11,0,3,5,0
11,1,0,0,0
11,1,0,1,0
11,1,0,2,0
11,1,0,3,0
11,1,0,4,0
11,1,0,5,0
11,1,1,0,0
11,1,1,1,0
11,1,1,2,0
11,1,1,3,0
11,1,1,4,0
11,1,1,5,0
11,1,2,0,0
11,1,2,1,0
11,1,2,2,1
11,1,2,3,0
11,1,2,4,1
11,1,2,5,0
11,1,3,0,0
11,1,3,1,0
11,1,3,2,0
