家族類型,所有,建て方,面積,世帯数
0,0,0,0,12
0,0,0,1,34
0,0,0,2,65
0,0,0,3,818
0,0,0,4,1120
0,0,0,5,755
0,0,1,0,2
0,0,1,1,0
0,0,1,2,7
0,0,1,3,6
0,0,1,4,11
0,0,1,5,0
0,0,2,0,15
0,0,2,1,40
0,0,2,2,1240
0,0,2,3,1998
0,0,2,4,15
0,0,2,5,4
0,0,3,0,0
0,0,3,1,2
0,0,3,2,0
0,0,3,3,3
0,0,3,4,2
0,0,3,5,2
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,1,0,0
0,1,1,1,0
0,1,1,2,1
0,1,1,3,0
0,1,1,4,0
0,1,1,5,0
0,1,2,0,54
0,1,2,1,687
0,1,2,2,1059
0,1,2,3,40
0,1,2,4,0
0,1,2,5,0
0,1,3,0,0
0,1,3,1,0
0,1,3,2,0
0,1,3,3,0
0,1,3,4,0
0,1,3,5,0
0,2,0,0,12
0,2,0,1,2
0,2,0,2,4
0,2,0,3,1
0,2,0,4,1
0,2,0,5,0
0,2,1,0,0
0,2,1,1,6
0,2,1,2,31
0,2,1,3,1
0,2,1,4,0
0,2,1,5,0
0,2,2,0,3516
0,2,2,1,955
0,2,2,2,11
0,2,2,3,9
0,2,2,4,5
0,2,2,5,1
0,2,3,0,11
0,2,3,1,7
0,2,3,2,2
0,2,3,3,2
0,2,3,4,0
0,2,3,5,2
0,3,0,0,0
0,3,0,1,0
0,3,0,2,2
0,3,0,3,8
0,3,0,4,12
0,3,0,5,2
0,3,1,0,4
0,3,1,1,3
0,3,1,2,5
0,3,1,3,3
0,3,1,4,0
0,3,1,5,0
0,3,2,0,350
0,3,2,1,132
0,3,2,2,3
0,3,2,3,17
0,3,2,4,0
0,3,2,5,1
0,3,3,0,0
0,3,3,1,2
0,3,3,2,1
0,3,3,3,3
0,3,3,4,0
0,3,3,5,0
0,4,0,0,27
0,4,0,1,21
0,4,0,2,10
0,4,0,3,6
0,4,0,4,0
0,4,0,5,0
0,4,1,0,4
0,4,1,1,0
0,4,1,2,0
0,4,1,3,1
0,4,1,4,0
0,4,1,5,0
0,4,2,0,2
0,4,2,1,3
0,4,2,2,1
0,4,2,3,3
0,4,2,4,0
