大字・町名,字・丁目名,核家族世帯,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯,核家族世帯,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯
,,38700,13228,18053,7419,4178,1568,79610,109431,26456,65326,17649,14991,3447,79610
博多駅前,１丁目,85,31,31,23,19,9,647,228,62,114,52,57,18,647
博多駅前,２丁目,33,19,4,10,4,1,259,72,38,12,22,12,2,259
博多駅前,３丁目,99,54,18,27,14,8,1425,232,108,66,58,46,17,1425
博多駅前,４丁目,536,240,176,120,59,31,2782,1362,480,606,276,160,69,2782
博多駅中央街,,10,5,1,4,0,1,58,21,10,3,8,0,2,58
博多駅東,１丁目,101,49,28,24,12,16,678,249,98,95,56,30,33,678
博多駅東,２丁目,56,20,21,15,3,6,334,141,40,67,34,8,12,334
博多駅東,３丁目,98,47,24,27,10,13,818,239,94,84,61,26,26,818
博多駅南,１丁目,86,33,35,18,13,12,1094,222,66,118,38,41,24,1094
博多駅南,２丁目,385,143,181,61,42,22,1548,1076,286,647,143,130,45,1548
博多駅南,３丁目,506,196,202,108,63,39,2440,1370,392,729,249,168,85,2440
博多駅南,４丁目,292,107,121,64,27,17,723,781,214,423,144,91,34,723
博多駅南,５丁目,370,138,162,70,53,21,1388,1009,276,574,159,183,44,1388
博多駅南,６丁目,301,107,159,35,19,12,426,863,214,565,84,73,24,426
山王,１丁目,311,98,156,57,23,16,425,907,196,574,137,68,39,425
山王,２丁目,95,34,46,15,8,11,233,278,68,172,38,30,22,233
比恵町,,487,228,178,81,56,40,1986,1247,456,609,182,144,82,1986
美野島,１丁目,255,83,105,67,47,16,1325,685,166,370,149,149,33,1325
美野島,２丁目,397,135,163,99,60,47,1965,1069,270,575,224,205,100,1965
美野島,３丁目,537,187,247,103,51,42,1492,1513,374,893,246,168,92,1492
美野島,４丁目,602,208,325,69,28,9,218,1782,416,1197,169,112,21,218
住吉,１丁目,4,0,1,3,3,0,25,12,0,3,9,11,0,25
住吉,２丁目,199,87,61,51,31,31,1481,487,174,197,116,103,64,1481
住吉,３丁目,159,78,43,38,31,25,1241,388,156,149,83,82,50,1241
住吉,４丁目,287,126,92,69,44,29,1427,723,252,315,156,121,59,1427
住吉,５丁目,335,125,124,86,54,26,1289,881,250,439,192,183,53,1289
上川端町,,105,46,33,26,16,4,261,264,92,114,58,62,9,261
下川端町,,40,15,16,9,3,5,119,104,30,54,20,6,10,119
店屋町,,94,41,35,18,9,7,389,243,82,119,42,25,14,389
冷泉町,,175,76,60,39,26,13,921,459,152,216,91,83,27,921
祇園町,,146,52,44,50,17,26,672,368,104,149,115,55,59,672
中洲,１丁目,1,0,0,1,0,0,3,3,0,0,3,0,0,3
中洲,２丁目,4,1,2,1,1,0,60,13,2,9,2,4,0,60
中洲,３丁目,5,2,1,2,1,0,3,11,4,3,4,2,0,3
中洲,４丁目,6,1,3,2,1,0,4,18,2,11,5,4,0,4
中洲,５丁目,20,13,3,4,1,4,505,47,26,11,10,2,8,505
中洲中島町,,49,28,12,9,6,6,269,120,56,40,24,13,14,269
古門戸町,,131,43,57,31,22,4,498,361,86,209,66,81,8,498
対馬小路,,229,76,113,40,34,11,647,668,152,417,99,111,22,647
築港本町,,198,85,70,43,19,35,1146,516,170,242,104,68,71,1146
奈良屋町,,247,86,109,52,42,7,554,697,172,396,129,164,15,554
神屋町,,185,76,67,42,27,23,1199,491,152,237,102,91,48,1199
須崎町,,135,54,49,32,11,7,552,351,108,171,72,41,16,552
綱場町,,46,20,13,13,11,7,410,112,40,45,27,30,14,410
石城町,,125,46,47,32,13,6,799,334,92,172,70,38,13,799
上呉服町,,181,58,86,37,34,6,514,507,116,309,82,142,16,514
中呉服町,,77,36,23,18,12,11,811,191,72,80,39,32,23,811
下呉服町,,215,70,90,55,33,4,981,597,140,329,128,112,10,981
大博町,,210,70,86,54,34,16,711,584,140,311,133,111,38,711
御供所町,,142,52,61,29,24,12,524,381,104,214,63,79,29,524
千代,１丁目,499,219,152,128,76,34,1479,1291,438,542,311,230,70,1479
千代,２丁目,142,59,34,49,16,11,912,354,118,119,117,49,25,912
千代,３丁目,398,156,126,116,42,24,990,1058,312,467,279,112,51,990
千代,４丁目,142,57,36,49,32,18,1486,347,114,117,116,98,36,1486
千代,５丁目,306,113,106,87,34,10,703,825,226,390,209,101,22,703
千代,６丁目,67,26,16,25,6,4,490,172,52,61,59,18,10,490
東公園,,29,13,11,5,6,2,196,78,26,42,10,20,6,196
吉塚本町,,259,102,126,31,19,21,477,710,204,433,73,76,45,477
吉塚,１丁目,495,180,183,132,67,24,1105,1350,360,660,330,219,48,1105
吉塚,２丁目,421,142,200,79,52,15,723,1214,284,745,185,169,35,723
吉塚,３丁目,356,119,149,88,38,11,598,975,238,530,207,128,27,598
吉塚,４丁目,682,207,353,122,58,29,649,1969,414,1258,297,211,63,649
吉塚,５丁目,403,122,209,72,47,10,496,1202,244,777,181,165,25,496
吉塚,６丁目,557,195,256,106,42,15,1010,1566,390,927,249,129,30,1010
吉塚,７丁目,426,154,199,73,43,11,616,1185,308,704,173,140,22,616
吉塚,８丁目,99,30,47,22,11,11,159,286,60,170,56,34,22,159
豊,１丁目,168,73,71,24,21,16,522,452,146,247,59,59,32,522
豊,２丁目,120,56,54,10,9,20,288,317,112,185,20,24,40,288
榎田,１丁目,134,51,76,7,19,10,407,397,102,280,15,44,20,407
榎田,２丁目,7,4,3,0,0,0,23,19,8,11,0,0,0,23
堅粕,１丁目,223,81,79,63,17,1,403,600,162,285,153,55,2,403
堅粕,２丁目,192,73,73,46,17,6,408,521,146,269,106,52,12,408
堅粕,３丁目,206,77,75,54,42,14,655,540,154,260,126,117,30,655
堅粕,４丁目,198,70,83,45,38,12,847,516,140,273,103,139,25,847
堅粕,５丁目,46,24,15,7,8,9,377,114,48,52,14,23,18,377
東光,１丁目,13,11,0,2,1,4,152,26,22,0,4,2,8,152
東光,２丁目,191,76,73,42,22,12,386,525,152,270,103,65,26,386
東比恵,１丁目,23,11,5,7,2,1,124,54,22,16,16,8,2,124
東比恵,２丁目,123,54,40,29,10,4,592,315,108,140,67,32,8,592
東比恵,３丁目,346,142,155,49,19,17,820,932,284,534,114,70,37,820
東比恵,４丁目,170,59,75,36,16,6,307,477,118,275,84,48,12,307
上牟田,１丁目,177,56,96,25,17,9,364,513,112,336,65,72,18,364
上牟田,２丁目,26,10,13,3,8,1,34,72,20,46,6,29,2,34
上牟田,３丁目,143,46,54,43,24,3,162,396,92,201,103,91,6,162
大井,１丁目,5,2,1,2,1,1,4,11,4,3,4,6,2,4
大井,２丁目,67,21,31,15,4,5,85,195,42,114,39,16,10,85
大字下臼井,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大字下月隈,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大字立花寺,,46,9,29,8,9,0,6,153,18,114,21,43,0,6
大字金隈,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西月隈,１丁目,49,20,18,11,7,2,120,132,40,62,30,28,6,120
西月隈,３丁目,263,76,151,36,12,6,192,768,152,533,83,50,17,192
西月隈,４丁目,0,0,0,0,0,0,13,0,0,0,0,0,0,13
西月隈,５丁目,120,31,59,30,22,3,108,349,62,219,68,92,6,108
西月隈,６丁目,5,0,4,1,1,2,23,21,0,18,3,2,4,23
東月隈,１丁目,186,76,85,25,22,1,38,523,152,309,62,87,2,38
東月隈,２丁目,173,80,76,17,27,0,28,459,160,258,41,127,0,28
東月隈,３丁目,269,112,119,38,35,1,99,749,224,431,94,153,5,99
東月隈,４丁目,490,155,169,166,43,7,262,1361,310,654,397,146,18,262
東月隈,５丁目,226,94,101,31,55,3,84,609,188,352,69,247,12,84
浦田,１丁目,420,118,231,71,56,8,170,1264,236,840,188,241,20,170
浦田,２丁目,284,74,187,23,28,2,112,895,148,685,62,109,7,112
東那珂,１丁目,413,109,251,53,31,12,327,1284,218,936,130,125,24,327
東那珂,２丁目,321,94,181,46,30,9,292,970,188,667,115,104,20,292
東那珂,３丁目,335,85,190,60,43,8,177,1031,170,715,146,173,21,177
半道橋,１丁目,410,127,218,65,41,9,288,1198,254,789,155,149,21,288
半道橋,２丁目,42,19,14,9,10,3,54,106,38,49,19,35,9,54
竹下,１丁目,149,54,76,19,7,5,362,427,108,274,45,23,11,362
竹下,２丁目,67,37,23,7,6,7,374,174,74,85,15,18,14,374
竹下,３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0
竹下,４丁目,178,71,59,48,14,10,496,456,142,202,112,48,21,496
竹下,５丁目,278,90,155,33,23,5,410,817,180,556,81,78,11,410
東光寺町,１丁目,154,65,71,18,20,14,188,434,130,259,45,80,30,188
東光寺町,２丁目,173,44,100,29,6,1,86,533,88,368,77,21,2,86
那珂,１丁目,380,117,197,66,48,10,520,1105,234,705,166,188,27,520
那珂,２丁目,297,98,158,41,26,3,245,872,196,580,96,97,6,245
那珂,３丁目,480,113,249,118,36,11,254,1459,226,945,288,140,25,254
那珂,４丁目,374,84,228,62,32,4,200,1170,168,852,150,121,10,200
那珂,５丁目,238,66,126,46,21,5,223,704,132,458,114,83,15,223
那珂,６丁目,207,58,124,25,17,0,228,632,116,454,62,78,0,228
板付,１丁目,100,33,56,11,9,3,84,285,66,194,25,32,9,84
板付,２丁目,224,64,129,31,32,4,112,684,128,479,77,133,9,112
板付,３丁目,943,301,357,285,76,7,558,2596,602,1327,667,285,19,558
板付,４丁目,363,116,164,83,22,6,317,1028,232,600,196,79,16,317
板付,５丁目,315,79,182,54,29,5,286,948,158,660,130,130,16,286
板付,６丁目,155,47,87,21,11,3,106,462,94,315,53,45,6,106
板付,７丁目,585,161,306,118,34,13,360,1754,322,1148,284,116,27,360
大字板付,,32,10,16,6,4,0,9,91,20,55,16,17,0,9
諸岡,１丁目,228,64,128,36,35,0,77,678,128,464,86,160,0,77
諸岡,２丁目,261,89,126,46,14,9,193,746,178,452,116,60,25,193
諸岡,３丁目,844,218,506,120,75,14,699,2601,436,1876,289,291,38,699
諸岡,４丁目,379,146,160,73,57,17,380,1022,292,564,166,217,43,380
諸岡,５丁目,413,136,215,62,41,6,464,1190,272,768,150,158,12,464
諸岡,６丁目,305,109,154,42,32,12,289,846,218,530,98,128,29,289
麦野,１丁目,190,74,84,32,38,3,152,508,148,291,69,170,7,152
麦野,２丁目,277,85,143,49,18,3,107,814,170,519,125,69,8,107
麦野,３丁目,215,55,130,30,21,4,174,696,110,501,85,95,10,174
麦野,４丁目,364,124,162,78,34,11,533,1023,248,588,187,125,27,533
麦野,５丁目,397,133,176,88,44,9,349,1101,266,626,209,170,23,349
麦野,６丁目,231,82,98,51,37,10,499,623,164,343,116,130,20,499
井相田,１丁目,48,8,33,7,0,1,40,162,16,128,18,0,2,40
井相田,２丁目,109,22,78,9,5,2,71,356,44,287,25,20,4,71
井相田,３丁目,276,106,147,23,29,12,248,800,212,529,59,118,28,248
三筑,１丁目,276,63,179,34,19,5,165,888,126,677,85,74,11,165
三筑,２丁目,434,118,234,82,37,9,424,1323,236,872,215,145,22,424
相生町,１丁目,160,46,89,25,4,1,33,473,92,321,60,16,2,33
相生町,２丁目,103,39,51,13,10,3,224,288,78,182,28,40,6,224
相生町,３丁目,193,59,87,47,16,8,201,542,118,308,116,49,21,201
銀天町,１丁目,71,20,37,14,4,0,57,203,40,128,35,17,0,57
銀天町,２丁目,45,19,19,7,2,2,116,123,38,68,17,5,4,116
銀天町,３丁目,41,17,15,9,5,4,167,102,34,50,18,13,8,167
寿町,１丁目,36,18,17,1,0,0,5,97,36,59,2,0,0,5
寿町,２丁目,159,71,65,23,12,7,411,421,142,228,51,42,15,411
寿町,３丁目,171,58,82,31,11,4,249,477,116,290,71,35,8,249
昭南町,１丁目,80,27,37,16,5,2,173,224,54,132,38,25,4,173
昭南町,２丁目,33,12,15,6,3,1,95,90,24,53,13,7,2,95
昭南町,３丁目,52,25,15,12,11,2,108,130,50,55,25,42,4,108
