Town,BuildingType,TotalHouseholds,TotalPopulation
博多駅前１丁目,一戸建,57,136
博多駅前１丁目,長屋建,2,3
博多駅前１丁目,共同住宅,653,744
博多駅前１丁目,その他,6,14
博多駅前２丁目,一戸建,5,11
博多駅前２丁目,長屋建,0,0
博多駅前２丁目,共同住宅,285,325
博多駅前２丁目,その他,1,2
博多駅前３丁目,一戸建,23,48
博多駅前３丁目,長屋建,2,2
博多駅前３丁目,共同住宅,1485,1629
博多駅前３丁目,その他,14,16
博多駅前４丁目,一戸建,84,189
博多駅前４丁目,長屋建,0,0
博多駅前４丁目,共同住宅,3268,4115
博多駅前４丁目,その他,4,7
博多駅中央街,一戸建,0,0
博多駅中央街,長屋建,0,0
博多駅中央街,共同住宅,69,81
博多駅中央街,その他,0,0
博多駅東１丁目,一戸建,8,13
博多駅東１丁目,長屋建,11,15
博多駅東１丁目,共同住宅,767,937
博多駅東１丁目,その他,2,5
博多駅東２丁目,一戸建,6,13
博多駅東２丁目,長屋建,0,0
博多駅東２丁目,共同住宅,369,452
博多駅東２丁目,その他,6,11
博多駅東３丁目,一戸建,8,14
博多駅東３丁目,長屋建,0,0
博多駅東３丁目,共同住宅,919,1081
博多駅東３丁目,その他,0,0
博多駅南１丁目,一戸建,11,31
博多駅南１丁目,長屋建,1,1
博多駅南１丁目,共同住宅,1058,1212
博多駅南１丁目,その他,2,2
博多駅南２丁目,一戸建,47,103
博多駅南２丁目,長屋建,3,5
博多駅南２丁目,共同住宅,1919,2651
博多駅南２丁目,その他,4,10
博多駅南３丁目,一戸建,62,130
博多駅南３丁目,長屋建,3,7
博多駅南３丁目,共同住宅,2926,3849
博多駅南３丁目,その他,7,11
博多駅南４丁目,一戸建,46,110
博多駅南４丁目,長屋建,4,8
博多駅南４丁目,共同住宅,905,1397
博多駅南４丁目,その他,3,3
博多駅南５丁目,一戸建,176,429
博多駅南５丁目,長屋建,24,41
博多駅南５丁目,共同住宅,1506,2004
博多駅南５丁目,その他,6,11
博多駅南６丁目,一戸建,29,74
博多駅南６丁目,長屋建,8,13
博多駅南６丁目,共同住宅,699,1269
博多駅南６丁目,その他,4,11
山王１丁目,一戸建,36,99
山王１丁目,長屋建,0,0
山王１丁目,共同住宅,698,1286
山王１丁目,その他,3,7
山王２丁目,一戸建,24,69
山王２丁目,長屋建,1,1
山王２丁目,共同住宅,319,486
山王２丁目,その他,0,0
比恵町,一戸建,51,137
比恵町,長屋建,4,5
比恵町,共同住宅,2500,3302
比恵町,その他,2,3
美野島１丁目,一戸建,168,397
美野島１丁目,長屋建,20,33
美野島１丁目,共同住宅,1395,1689
美野島１丁目,その他,6,11
美野島２丁目,一戸建,138,349
美野島２丁目,長屋建,12,18
美野島２丁目,共同住宅,2278,2914
美野島２丁目,その他,2,3
美野島３丁目,一戸建,105,223
美野島３丁目,長屋建,2,5
美野島３丁目,共同住宅,1832,2843
美野島３丁目,その他,4,6
美野島４丁目,一戸建,10,26
美野島４丁目,長屋建,1,2
美野島４丁目,共同住宅,845,2104
美野島４丁目,その他,1,1
住吉１丁目,一戸建,12,23
住吉１丁目,長屋建,0,0
住吉１丁目,共同住宅,20,25
住吉１丁目,その他,0,0
住吉２丁目,一戸建,57,149
