Town,OwnershipType,TotalHouseholds,TotalPopulation
博多駅前１丁目,持ち家,114,240
博多駅前１丁目,公営・都市再生機構・公社の借家,45,54
博多駅前１丁目,民営の借家,513,555
博多駅前１丁目,給与住宅,46,48
博多駅前１丁目,間借り,8,15
博多駅前２丁目,持ち家,35,48
博多駅前２丁目,公営・都市再生機構・公社の借家,103,129
博多駅前２丁目,民営の借家,136,142
博多駅前２丁目,給与住宅,17,19
博多駅前２丁目,間借り,0,0
博多駅前３丁目,持ち家,95,157
博多駅前３丁目,公営・都市再生機構・公社の借家,83,106
博多駅前３丁目,民営の借家,1214,1291
博多駅前３丁目,給与住宅,132,141
博多駅前３丁目,間借り,9,12
博多駅前４丁目,持ち家,395,728
博多駅前４丁目,公営・都市再生機構・公社の借家,293,489
博多駅前４丁目,民営の借家,2504,2849
博多駅前４丁目,給与住宅,164,245
博多駅前４丁目,間借り,30,38
博多駅中央街,持ち家,0,0
博多駅中央街,公営・都市再生機構・公社の借家,57,69
博多駅中央街,民営の借家,12,12
博多駅中央街,給与住宅,0,0
博多駅中央街,間借り,0,0
博多駅東１丁目,持ち家,127,237
博多駅東１丁目,公営・都市再生機構・公社の借家,0,0
博多駅東１丁目,民営の借家,607,670
博多駅東１丁目,給与住宅,54,63
博多駅東１丁目,間借り,11,11
博多駅東２丁目,持ち家,59,121
博多駅東２丁目,公営・都市再生機構・公社の借家,0,0
博多駅東２丁目,民営の借家,307,335
博多駅東２丁目,給与住宅,15,20
博多駅東２丁目,間借り,17,18
博多駅東３丁目,持ち家,77,131
博多駅東３丁目,公営・都市再生機構・公社の借家,123,181
博多駅東３丁目,民営の借家,688,743
博多駅東３丁目,給与住宅,40,41
博多駅東３丁目,間借り,5,5
博多駅南１丁目,持ち家,100,194
博多駅南１丁目,公営・都市再生機構・公社の借家,0,0
博多駅南１丁目,民営の借家,897,970
博多駅南１丁目,給与住宅,75,82
博多駅南１丁目,間借り,6,7
博多駅南２丁目,持ち家,209,489
博多駅南２丁目,公営・都市再生機構・公社の借家,156,364
