Town,AreaRange,TotalHouseholds,TotalPopulation
博多駅前１丁目,0～29㎡,367,387
博多駅前１丁目,30～49㎡,160,180
博多駅前１丁目,50～69㎡,94,118
博多駅前１丁目,70～99㎡,74,135
博多駅前１丁目,100～149㎡,18,53
博多駅前１丁目,150㎡以上,13,39
博多駅前２丁目,0～29㎡,87,94
博多駅前２丁目,30～49㎡,124,143
博多駅前２丁目,50～69㎡,51,64
博多駅前２丁目,70～99㎡,25,28
博多駅前２丁目,100～149㎡,3,8
博多駅前２丁目,150㎡以上,1,1
博多駅前３丁目,0～29㎡,727,747
博多駅前３丁目,30～49㎡,509,582
博多駅前３丁目,50～69㎡,173,209
博多駅前３丁目,70～99㎡,92,109
博多駅前３丁目,100～149㎡,18,27
博多駅前３丁目,150㎡以上,14,33
博多駅前４丁目,0～29㎡,1446,1519
博多駅前４丁目,30～49㎡,871,1039
博多駅前４丁目,50～69㎡,601,885
博多駅前４丁目,70～99㎡,400,746
博多駅前４丁目,100～149㎡,45,104
博多駅前４丁目,150㎡以上,23,56
博多駅中央街,0～29㎡,34,37
博多駅中央街,30～49㎡,25,33
博多駅中央街,50～69㎡,8,9
博多駅中央街,70～99㎡,2,2
博多駅中央街,100～149㎡,0,0
博多駅中央街,150㎡以上,0,0
博多駅東１丁目,0～29㎡,371,396
博多駅東１丁目,30～49㎡,220,245
博多駅東１丁目,50～69㎡,131,212
博多駅東１丁目,70～99㎡,68,114
博多駅東１丁目,100～149㎡,7,9
博多駅東１丁目,150㎡以上,2,5
博多駅東２丁目,0～29㎡,196,201
博多駅東２丁目,30～49㎡,93,105
博多駅東２丁目,50～69㎡,67,112
博多駅東２丁目,70～99㎡,36,60
博多駅東２丁目,100～149㎡,5,14
博多駅東２丁目,150㎡以上,1,2
博多駅東３丁目,0～29㎡,436,453
博多駅東３丁目,30～49㎡,257,306
博多駅東３丁目,50～69㎡,163,230
博多駅東３丁目,70～99㎡,63,88
博多駅東３丁目,100～149㎡,10,14
博多駅東３丁目,150㎡以上,3,9
博多駅南１丁目,0～29㎡,485,504
博多駅南１丁目,30～49㎡,303,334
博多駅南１丁目,50～69㎡,165,205
博多駅南１丁目,70～99㎡,105,170
博多駅南１丁目,100～149㎡,13,26
博多駅南１丁目,150㎡以上,7,14
博多駅南２丁目,0～29㎡,770,817
博多駅南２丁目,30～49㎡,564,653
博多駅南２丁目,50～69㎡,347,639
博多駅南２丁目,70～99㎡,257,560
博多駅南２丁目,100～149㎡,30,70
博多駅南２丁目,150㎡以上,18,44
博多駅南３丁目,0～29㎡,1109,1170
博多駅南３丁目,30～49㎡,1050,1360
