所有,建て方,面積,世帯数,世帯人員数
持ち家,一戸建,0～29m2,106,116
持ち家,一戸建,30～49m2,362,479
持ち家,一戸建,50～69m2,1026,1980
持ち家,一戸建,70～99m2,3081,7282
持ち家,一戸建,100～149m2,4407,12181
持ち家,一戸建,150m2以上,2956,8843
持ち家,長屋建,0～29m2,13,21
持ち家,長屋建,30～49m2,37,63
持ち家,長屋建,50～69m2,35,68
持ち家,長屋建,70～99m2,50,102
持ち家,長屋建,100～149m2,56,158
持ち家,長屋建,150m2以上,1,4
持ち家,共同住宅,0～29m2,238,370
持ち家,共同住宅,30～49m2,1073,1752
持ち家,共同住宅,50～69m2,5545,11696
持ち家,共同住宅,70～99m2,8968,23050
持ち家,共同住宅,100～149m2,576,1506
持ち家,共同住宅,150m2以上,104,280
持ち家,その他,0～29m2,15,29
持ち家,その他,30～49m2,14,26
持ち家,その他,50～69m2,28,51
持ち家,その他,70～99m2,30,87
持ち家,その他,100～149m2,27,76
持ち家,その他,150m2以上,27,59
公営の借家,一戸建,0～29m2,0,0
公営の借家,一戸建,30～49m2,0,0
公営の借家,一戸建,50～69m2,0,0
公営の借家,一戸建,70～99m2,0,0
公営の借家,一戸建,100～149m2,0,0
公営の借家,一戸建,150m2以上,0,0
公営の借家,長屋建,0～29m2,0,0
公営の借家,長屋建,30～49m2,1,2
公営の借家,長屋建,50～69m2,2,2
公営の借家,長屋建,70～99m2,0,0
公営の借家,長屋建,100～149m2,0,0
公営の借家,長屋建,150m2以上,0,0
公営の借家,共同住宅,0～29m2,601,819
公営の借家,共同住宅,30～49m2,3831,6941
公営の借家,共同住宅,50～69m2,5933,11885
公営の借家,共同住宅,70～99m2,1038,2308
公営の借家,共同住宅,100～149m2,15,43
公営の借家,共同住宅,150m2以上,2,7
公営の借家,その他,0～29m2,0,0
公営の借家,その他,30～49m2,0,0
公営の借家,その他,50～69m2,0,0
公営の借家,その他,70～99m2,0,0
公営の借家,その他,100～149m2,0,0
公営の借家,その他,150m2以上,0,0
民営の借家,一戸建,0～29m2,115,120
民営の借家,一戸建,30～49m2,444,852
民営の借家,一戸建,50～69m2,338,777
民営の借家,一戸建,70～99m2,336,874
民営の借家,一戸建,100～149m2,175,494
民営の借家,一戸建,150m2以上,43,117
民営の借家,長屋建,0～29m2,306,421
民営の借家,長屋建,30～49m2,337,592
民営の借家,長屋建,50～69m2,157,330
民営の借家,長屋建,70～99m2,73,160
民営の借家,長屋建,100～149m2,23,68
民営の借家,長屋建,150m2以上,3,6
民営の借家,共同住宅,0～29m2,32581,35329
民営の借家,共同住宅,30～49m2,21289,28081
民営の借家,共同住宅,50～69m2,12854,22382
民営の借家,共同住宅,70～99m2,5687,10495
民営の借家,共同住宅,100～149m2,381,648
民営の借家,共同住宅,150m2以上,77,143
民営の借家,その他,0～29m2,47,59
民営の借家,その他,30～49m2,38,62
民営の借家,その他,50～69m2,13,21
民営の借家,その他,70～99m2,10,21
民営の借家,その他,100～149m2,5,11
民営の借家,その他,150m2以上,0,0
給与住宅,一戸建,0～29m2,5,5
給与住宅,一戸建,30～49m2,29,54
給与住宅,一戸建,50～69m2,21,58
給与住宅,一戸建,70～99m2,42,120
給与住宅,一戸建,100～149m2,30,88
給与住宅,一戸建,150m2以上,25,79
給与住宅,長屋建,0～29m2,10,10
給与住宅,長屋建,30～49m2,5,9
給与住宅,長屋建,50～69m2,7,16
給与住宅,長屋建,70～99m2,6,19
給与住宅,長屋建,100～149m2,2,8
給与住宅,長屋建,150m2以上,0,0
給与住宅,共同住宅,0～29m2,1620,1742
給与住宅,共同住宅,30～49m2,1368,1842
給与住宅,共同住宅,50～69m2,1024,2399
給与住宅,共同住宅,70～99m2,713,2012
給与住宅,共同住宅,100～149m2,40,103
給与住宅,共同住宅,150m2以上,11,27
給与住宅,その他,0～29m2,11,19
給与住宅,その他,30～49m2,14,24
給与住宅,その他,50～69m2,11,24
給与住宅,その他,70～99m2,10,25
給与住宅,その他,100～149m2,4,6
給与住宅,その他,150m2以上,5,11
間借り,一戸建,0～29m2,86,146
間借り,一戸建,30～49m2,74,152
間借り,一戸建,50～69m2,90,231
間借り,一戸建,70～99m2,48,150
間借り,一戸建,100～149m2,0,0
間借り,一戸建,150m2以上,0,0
間借り,長屋建,0～29m2,23,31
間借り,長屋建,30～49m2,10,28
間借り,長屋建,50～69m2,2,3
間借り,長屋建,70～99m2,3,6
間借り,長屋建,100～149m2,0,0
間借り,長屋建,150m2以上,0,0
間借り,共同住宅,0～29m2,410,464
間借り,共同住宅,30～49m2,195,310
間借り,共同住宅,50～69m2,106,212
間借り,共同住宅,70～99m2,82,175
間借り,共同住宅,100～149m2,0,0
間借り,共同住宅,150m2以上,0,0
間借り,その他,0～29m2,11,14
間借り,その他,30～49m2,3,4
間借り,その他,50～69m2,1,4
間借り,その他,70～99m2,1,1
間借り,その他,100～149m2,0,0
間借り,その他,150m2以上,0,0
