Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
博多駅前３丁目,13,13,その他の核家族世帯,0,0
博多駅前３丁目,13,13,単独世帯,13,13
博多駅前３丁目,13,13,夫婦と子供から成る世帯,0,0
博多駅前３丁目,13,13,夫婦のみの世帯,0,0
博多駅前３丁目,13,13,核家族以外の世帯,0,0
博多駅前３丁目,13,13,非親族を含む世帯,0,0
博多駅中央街,0,0,その他の核家族世帯,0,0
博多駅中央街,0,0,単独世帯,0,0
博多駅中央街,0,0,夫婦と子供から成る世帯,0,0
博多駅中央街,0,0,夫婦のみの世帯,0,0
博多駅中央街,0,0,核家族以外の世帯,0,0
博多駅中央街,0,0,非親族を含む世帯,0,0
博多駅東２丁目,1,1,その他の核家族世帯,0,0
博多駅東２丁目,1,1,単独世帯,1,1
博多駅東２丁目,1,1,夫婦と子供から成る世帯,0,0
博多駅東２丁目,1,1,夫婦のみの世帯,0,0
博多駅東２丁目,1,1,核家族以外の世帯,0,0
博多駅東２丁目,1,1,非親族を含む世帯,0,0
博多駅南４丁目,93,93,その他の核家族世帯,0,0
博多駅南４丁目,93,93,単独世帯,93,93
博多駅南４丁目,93,93,夫婦と子供から成る世帯,0,0
博多駅南４丁目,93,93,夫婦のみの世帯,0,0
博多駅南４丁目,93,93,核家族以外の世帯,0,0
博多駅南４丁目,93,93,非親族を含む世帯,0,0
博多駅南６丁目,15,15,その他の核家族世帯,0,0
博多駅南６丁目,15,15,単独世帯,15,15
博多駅南６丁目,15,15,夫婦と子供から成る世帯,0,0
博多駅南６丁目,15,15,夫婦のみの世帯,0,0
博多駅南６丁目,15,15,核家族以外の世帯,0,0
博多駅南６丁目,15,15,非親族を含む世帯,0,0
比恵町,8,8,その他の核家族世帯,0,0
比恵町,8,8,単独世帯,8,8
比恵町,8,8,夫婦と子供から成る世帯,0,0
比恵町,8,8,夫婦のみの世帯,0,0
比恵町,8,8,核家族以外の世帯,0,0
比恵町,8,8,非親族を含む世帯,0,0
美野島３丁目,166,166,その他の核家族世帯,0,0
美野島３丁目,166,166,単独世帯,166,166
美野島３丁目,166,166,夫婦と子供から成る世帯,0,0
美野島３丁目,166,166,夫婦のみの世帯,0,0
美野島３丁目,166,166,核家族以外の世帯,0,0
美野島３丁目,166,166,非親族を含む世帯,0,0
美野島４丁目,0,0,その他の核家族世帯,0,0
美野島４丁目,0,0,単独世帯,0,0
美野島４丁目,0,0,夫婦と子供から成る世帯,0,0
美野島４丁目,0,0,夫婦のみの世帯,0,0
美野島４丁目,0,0,核家族以外の世帯,0,0
美野島４丁目,0,0,非親族を含む世帯,0,0
住吉１丁目,0,0,その他の核家族世帯,0,0
住吉１丁目,0,0,単独世帯,0,0
住吉１丁目,0,0,夫婦と子供から成る世帯,0,0
住吉１丁目,0,0,夫婦のみの世帯,0,0
住吉１丁目,0,0,核家族以外の世帯,0,0
住吉１丁目,0,0,非親族を含む世帯,0,0
住吉２丁目,4,4,その他の核家族世帯,0,0
住吉２丁目,4,4,単独世帯,4,4
住吉２丁目,4,4,夫婦と子供から成る世帯,0,0
住吉２丁目,4,4,夫婦のみの世帯,0,0
住吉２丁目,4,4,核家族以外の世帯,0,0
住吉２丁目,4,4,非親族を含む世帯,0,0
住吉３丁目,7,7,その他の核家族世帯,0,0
住吉３丁目,7,7,単独世帯,7,7
住吉３丁目,7,7,夫婦と子供から成る世帯,0,0
住吉３丁目,7,7,夫婦のみの世帯,0,0
住吉３丁目,7,7,核家族以外の世帯,0,0
住吉３丁目,7,7,非親族を含む世帯,0,0
住吉４丁目,2,2,その他の核家族世帯,0,0
住吉４丁目,2,2,単独世帯,2,2
住吉４丁目,2,2,夫婦と子供から成る世帯,0,0
住吉４丁目,2,2,夫婦のみの世帯,0,0
住吉４丁目,2,2,核家族以外の世帯,0,0
住吉４丁目,2,2,非親族を含む世帯,0,0
住吉５丁目,1,1,その他の核家族世帯,0,0
住吉５丁目,1,1,単独世帯,1,1
住吉５丁目,1,1,夫婦と子供から成る世帯,0,0
住吉５丁目,1,1,夫婦のみの世帯,0,0
住吉５丁目,1,1,核家族以外の世帯,0,0
住吉５丁目,1,1,非親族を含む世帯,0,0
上川端町,1,1,その他の核家族世帯,0,0
上川端町,1,1,単独世帯,1,1
上川端町,1,1,夫婦と子供から成る世帯,0,0
上川端町,1,1,夫婦のみの世帯,0,0
上川端町,1,1,核家族以外の世帯,0,0
