町丁目,NonResSumHouseholds,NonResSumPopulation
博多駅前１丁目,34,38
博多駅前２丁目,6,7
博多駅前３丁目,13,13
博多駅前４丁目,22,24
博多駅中央街,-,-
博多駅東１丁目,8,9
博多駅東２丁目,1,1
博多駅東３丁目,6,8
博多駅南１丁目,127,128
博多駅南２丁目,11,16
博多駅南３丁目,27,32
博多駅南４丁目,93,93
博多駅南５丁目,102,104
博多駅南６丁目,15,15
山王１丁目,35,39
山王２丁目,1,2
比恵町,8,8
美野島１丁目,28,29
美野島２丁目,9,15
美野島３丁目,166,166
美野島４丁目,-,-
住吉１丁目,-,-
住吉２丁目,4,4
住吉３丁目,7,7
住吉４丁目,2,2
住吉５丁目,1,1
上川端町,1,1
下川端町,-,-
店屋町,5,5
冷泉町,4,4
祇園町,-,-
中洲１丁目,1,1
中洲２丁目,-,-
中洲３丁目,-,-
中洲４丁目,1,1
中洲５丁目,1,2
中洲中島町,-,-
古門戸町,5,6
対馬小路,5,5
築港本町,1,1
奈良屋町,15,15
神屋町,9,10
須崎町,3,5
綱場町,2,2
石城町,147,148
上呉服町,1,1
中呉服町,7,8
下呉服町,-,-
大博町,41,42
御供所町,14,20
千代１丁目,29,32
千代２丁目,5,6
千代３丁目,3,4
千代４丁目,126,126
千代５丁目,58,58
千代６丁目,-,-
東公園,-,-
吉塚本町,12,13
吉塚１丁目,6,10
吉塚２丁目,-,-
吉塚３丁目,8,10
吉塚４丁目,9,9
吉塚５丁目,55,55
吉塚６丁目,39,48
吉塚７丁目,8,8
吉塚８丁目,-,-
豊１丁目,2,2
豊２丁目,4,5
榎田１丁目,-,-
榎田２丁目,-,-
堅粕１丁目,-,-
堅粕２丁目,2,4
堅粕３丁目,-,-
堅粕４丁目,31,34
堅粕５丁目,5,5
東光１丁目,1,1
東光２丁目,42,44
東比恵１丁目,1,1
東比恵２丁目,9,11
東比恵３丁目,98,98
東比恵４丁目,8,10
上牟田１丁目,-,-
上牟田２丁目,1,1
上牟田３丁目,-,-
大井１丁目,-,-
大井２丁目,11,11
大字下臼井,-,-
大字下月隈,-,-
大字立花寺,-,-
大字金隈,-,-
西月隈１丁目,27,29
西月隈３丁目,2,9
西月隈４丁目,13,13
西月隈５丁目,-,-
西月隈６丁目,9,9
東月隈１丁目,-,-
東月隈２丁目,-,-
東月隈３丁目,1,1
東月隈４丁目,-,-
東月隈５丁目,6,6
浦田１丁目,5,7
浦田２丁目,10,10
東那珂１丁目,-,-
東那珂２丁目,39,39
東那珂３丁目,23,23
半道橋１丁目,37,37
半道橋２丁目,-,-
竹下１丁目,5,5
竹下２丁目,94,95
竹下３丁目,-,-
竹下４丁目,2,2
竹下５丁目,2,2
東光寺町１丁目,7,7
東光寺町２丁目,1,1
那珂１丁目,8,9
那珂２丁目,5,8
那珂３丁目,1,5
那珂４丁目,2,2
那珂５丁目,17,17
那珂６丁目,-,-
板付１丁目,-,-
板付２丁目,-,-
板付３丁目,1,1
板付４丁目,2,2
板付５丁目,-,-
板付６丁目,-,-
板付７丁目,1,1
大字板付,-,-
諸岡１丁目,2,7
諸岡２丁目,-,-
諸岡３丁目,5,5
諸岡４丁目,-,-
諸岡５丁目,37,37
諸岡６丁目,22,22
麦野１丁目,1,5
麦野２丁目,-,-
麦野３丁目,79,80
麦野４丁目,5,6
麦野５丁目,4,4
麦野６丁目,2,4
井相田１丁目,18,18
井相田２丁目,-,-
井相田３丁目,-,-
三筑１丁目,61,61
三筑２丁目,2,2
相生町１丁目,-,-
相生町２丁目,-,-
相生町３丁目,-,-
銀天町１丁目,1,1
銀天町２丁目,7,7
銀天町３丁目,-,-
寿町１丁目,-,-
寿町２丁目,7,7
寿町３丁目,-,-
昭南町１丁目,-,-
昭南町２丁目,-,-
昭南町３丁目,-,-
新和町１丁目,-,-
新和町２丁目,3,3
西春町１丁目,19,19
西春町２丁目,40,40
西春町３丁目,-,-
西春町４丁目,-,-
春町１丁目,15,17
春町２丁目,-,-
春町３丁目,-,-
東雲町１丁目,-,-
東雲町２丁目,-,-
東雲町３丁目,-,-
東雲町４丁目,-,-
光丘町１丁目,3,6
光丘町２丁目,5,5
光丘町３丁目,1,1
南本町１丁目,-,-
南本町２丁目,-,-
南八幡町１丁目,1,1
南八幡町２丁目,1,2
竹丘町１丁目,-,-
竹丘町２丁目,4,6
竹丘町３丁目,-,-
元町１丁目,4,4
元町２丁目,-,-
元町３丁目,-,-
青木１丁目,2,5
青木２丁目,-,-
空港前１丁目,-,-
空港前２丁目,-,-
空港前３丁目,-,-
空港前４丁目,31,35
空港前５丁目,1,1
東平尾１丁目,11,11
東平尾２丁目,2,2
東平尾３丁目,-,-
東平尾公園１丁目,-,-
東平尾公園２丁目,-,-
月隈１丁目,1,2
月隈２丁目,-,-
月隈３丁目,-,-
月隈４丁目,-,-
月隈５丁目,-,-
月隈６丁目,-,-
立花寺,6,11
金の隈１丁目,8,8
金の隈２丁目,5,5
金の隈３丁目,47,51
博多港,-,-
