Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
三筑１丁目,夫婦のみの世帯,63,126,61,61,True,0.0,-0.0,642.1378314842214,634.7684881288064
三筑１丁目,夫婦と子供から成る世帯,179,677,61,61,True,0.0,-0.0,642.1378314842214,634.7684881288064
三筑１丁目,その他の核家族世帯,34,85,61,61,True,0.0,-0.0,642.1378314842214,634.7684881288064
三筑１丁目,核家族以外の世帯,19,74,61,61,True,0.0,-0.0,642.1378314842214,634.7684881288064
三筑１丁目,非親族を含む世帯,5,11,61,61,True,0.0,-0.0,642.1378314842214,634.7684881288064
三筑１丁目,単独世帯,165,165,61,61,True,61.0,7.369343355414897,710.5071748396372,634.7684881288064
三筑２丁目,夫婦のみの世帯,118,236,2,2,True,0.0,-0.0,0.24161781493163614,0.0
三筑２丁目,夫婦と子供から成る世帯,234,872,2,2,True,0.0,-0.0,0.24161781493163614,0.0
三筑２丁目,その他の核家族世帯,82,215,2,2,True,0.0,-0.0,0.24161781493163614,0.0
三筑２丁目,核家族以外の世帯,37,145,2,2,True,0.0,-0.0,0.24161781493163614,0.0
三筑２丁目,非親族を含む世帯,9,22,2,2,True,0.0,-0.0,0.24161781493163614,0.0
三筑２丁目,単独世帯,424,424,2,2,True,2.0,0.24161781493163595,2.4832356298632723,0.0
上呉服町,夫婦のみの世帯,58,116,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上呉服町,夫婦と子供から成る世帯,86,309,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上呉服町,その他の核家族世帯,37,82,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上呉服町,核家族以外の世帯,34,142,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上呉服町,非親族を含む世帯,6,16,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上呉服町,単独世帯,514,514,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
上川端町,夫婦のみの世帯,46,92,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上川端町,夫婦と子供から成る世帯,33,114,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上川端町,その他の核家族世帯,26,58,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上川端町,核家族以外の世帯,16,62,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上川端町,非親族を含む世帯,4,9,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上川端町,単独世帯,261,261,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
上牟田１丁目,夫婦のみの世帯,56,112,0,0,True,0.0,-0.0,0.0,0.0
上牟田１丁目,夫婦と子供から成る世帯,96,336,0,0,True,0.0,-0.0,0.0,0.0
上牟田１丁目,その他の核家族世帯,25,65,0,0,True,0.0,-0.0,0.0,0.0
上牟田１丁目,核家族以外の世帯,17,72,0,0,True,0.0,-0.0,0.0,0.0
上牟田１丁目,非親族を含む世帯,9,18,0,0,True,0.0,-0.0,0.0,0.0
上牟田１丁目,単独世帯,364,364,0,0,True,0.0,0.0,0.0,0.0
上牟田２丁目,夫婦のみの世帯,10,20,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上牟田２丁目,夫婦と子供から成る世帯,13,46,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上牟田２丁目,その他の核家族世帯,3,6,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上牟田２丁目,核家族以外の世帯,8,29,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上牟田２丁目,非親族を含む世帯,1,2,1,1,True,0.0,-0.0,0.12080890746581807,0.0
上牟田２丁目,単独世帯,34,34,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
上牟田３丁目,夫婦のみの世帯,46,92,0,0,True,0.0,-0.0,0.0,0.0
上牟田３丁目,夫婦と子供から成る世帯,54,201,0,0,True,0.0,-0.0,0.0,0.0
上牟田３丁目,その他の核家族世帯,43,103,0,0,True,0.0,-0.0,0.0,0.0
上牟田３丁目,核家族以外の世帯,24,91,0,0,True,0.0,-0.0,0.0,0.0
上牟田３丁目,非親族を含む世帯,3,6,0,0,True,0.0,-0.0,0.0,0.0
上牟田３丁目,単独世帯,162,162,0,0,True,0.0,0.0,0.0,0.0
下呉服町,夫婦のみの世帯,70,140,0,0,True,0.0,-0.0,0.0,0.0
下呉服町,夫婦と子供から成る世帯,90,329,0,0,True,0.0,-0.0,0.0,0.0
下呉服町,その他の核家族世帯,55,128,0,0,True,0.0,-0.0,0.0,0.0
下呉服町,核家族以外の世帯,33,112,0,0,True,0.0,-0.0,0.0,0.0
下呉服町,非親族を含む世帯,4,10,0,0,True,0.0,-0.0,0.0,0.0
下呉服町,単独世帯,981,981,0,0,True,0.0,0.0,0.0,0.0
下川端町,夫婦のみの世帯,15,30,0,0,True,0.0,-0.0,0.0,0.0
下川端町,夫婦と子供から成る世帯,16,54,0,0,True,0.0,-0.0,0.0,0.0
下川端町,その他の核家族世帯,9,20,0,0,True,0.0,-0.0,0.0,0.0
下川端町,核家族以外の世帯,3,6,0,0,True,0.0,-0.0,0.0,0.0
下川端町,非親族を含む世帯,5,10,0,0,True,0.0,-0.0,0.0,0.0
下川端町,単独世帯,119,119,0,0,True,0.0,0.0,0.0,0.0
中呉服町,夫婦のみの世帯,36,72,7,8,False,0.2766190998902305,-0.18763635625114616,0.27634648233125436,0.0
中呉服町,夫婦と子供から成る世帯,23,80,7,8,False,0.17672886937431395,-0.14861726194489208,0.21547534612159192,0.0
中呉服町,その他の核家族世帯,18,39,7,8,False,0.13830954994511524,-0.10275361440789729,0.222919674229388,0.0
中呉服町,核家族以外の世帯,12,32,7,8,False,0.09220636663007684,-0.0665553169624381,0.21301478835980878,0.0
中呉服町,非親族を含む世帯,11,23,7,8,False,0.0845225027442371,-0.059908143885746154,0.211978097550661,0.0
中呉服町,単独世帯,811,811,7,8,False,6.2316136114160265,0.7528344321442906,7.171811782252487,0.0
中洲中島町,夫婦のみの世帯,28,56,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,夫婦と子供から成る世帯,12,40,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,その他の核家族世帯,9,24,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,核家族以外の世帯,6,13,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,非親族を含む世帯,6,14,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,単独世帯,269,269,0,0,True,0.0,0.0,0.0,0.0
中洲１丁目,夫婦のみの世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
